Pr,,,,,,,,,,,,,,,
1.6,-0.002,-0.01,-0.019,-0.039,-0.079,-0.12,-0.162,-0.204,-0.247,-0.312,-0.421,-0.628,-0.913,-1.05,-1.13
1.7,-0.002,-0.008,-0.017,-0.033,-0.067,-0.102,-0.137,-0.172,-0.208,-0.261,-0.35,-0.519,-0.773,-0.915,-1.013
1.8,-0.001,-0.007,-0.014,-0.029,-0.058,-0.088,-0.117,-0.147,-0.177,-0.222,-0.296,-0.438,-0.661,-0.799,-0.908
1.9,-0.001,-0.006,-0.013,-0.025,-0.051,-0.076,-0.102,-0.127,-0.153,-0.191,-0.255,-0.375,-0.57,-0.702,-0.815
2,-0.001,-0.006,-0.011,-0.022,-0.044,-0.067,-0.089,-0.111,-0.134,-0.167,-0.221,-0.625,-0.497,-0.62,-0.733
2.2,-0.001,-0.004,-0.009,-0.018,-0.035,-0.053,-0.07,-0.087,-0.105,-0.13,-0.172,-0.251,-0.388,-0.492,-0.599
2.4,-0.001,-0.004,-0.007,-0.014,-0.028,-0.042,-0.056,-0.07,-0.084,-0.104,-0.138,-0.201,-0.311,-0.399,-0.496
2.6,-0.001,-0.003,-0.006,-0.012,-0.023,-0.035,-0.046,-0.058,-0.069,-0.086,-0.113,-0.164,-0.255,-0.329,-0.416
2.8,0,-0.002,-0.005,-0.01,-0.02,-0.029,-0.039,-0.048,-0.058,-0.072,-0.094,-0.137,-0.213,-0.277,-0.353
3,0,-0.002,-0.004,-0.008,-0.017,-0.025,-0.033,-0.041,-0.049,-0.061,-0.08,-0.116,-0.181,-0.236,-0.303
3.5,0,-0.001,-0.003,-0.006,-0.012,-0.017,-0.023,-0.029,-0.034,-0.042,-0.056,-0.081,-0.126,-0.166,-0.216
4,0,-0.001,-0.002,-0.004,-0.009,-0.013,-0.017,-0.021,-0.025,-0.031,-0.041,-0.059,-0.093,-0.123,-0.162
